Age,AllClonesEntered,AllUsefulGlomPict,DevStage,FixDate,FixTubeCode,Fluorophores,Genotype,HSAge,HSCode,HSMidpoint,HSWindowSize,HSwrt,LayDate,MountDate,NumBrains,NumClonesEntered,NumImagesEntered,NumOrigin,NumScheme,PrimAbs,Serial,Sex,SlideKey,SlideNotes,Temp,TotalClonesEntered,TotalNumBrains,CreatorName,CreatedDate,ModifierName,ModifiedDate
"","","","Adult","","","EGFPAlexa488Alexa568","G13 GH146 FLP122 MARCM","016-024","28-Apr","20","8","Emb","","6/29/2004","98","66","","Top Left","Z type","Rat a mCD8mAb nc82","","F","DAA","lost one somewhere between 60 and 80","16","3590","47110","","","Elizabeth Marin","7/6/2004"
"","","","Adult","","040625.1","Alexa488Alexa568","CD8/+;NP1004/CD8","","","","","ALH","","6/29/2004","7","0","","Top Left","Z type","Rat a mCD8mAb nc82","","F","EAA","To examine expression in Lateral Horn neurons","25","3590","47110","","","",""
"","","","Adult","","040625.2","Alexa488Alexa568","CD8;NP5194/CD8","","","","","ALH","","6/29/2004","8","5","","Top Left","Z type","Rat a mCD8mAb nc82","","M","EAB","To examine expression in Lateral Horn neurons","25","3590","47110","","","",""
"","","","Adult","","040623.2","Alexa488Alexa568","CD8;Mz0671/CD8","","","","","ALH","","6/30/2004","7","0","","Top Left","Z type","Rat a mCD8mAb nc82","","M","EAC","To examine expression in Lateral Horn neurons","25","3590","47110","","","",""
"","","","Adult","","040623.3","Alexa488Alexa568","CD8;NP10/CD8","","","","","ALH","","6/30/2004","12","0","","Top Left","Z type","Rat a mCD8mAb nc82","","M","EAD","To examine expression in Lateral Horn neurons","25","3590","47110","","","",""
"","","","Adult","","040507.1","Alexa488Alexa568","G13 GH146 MARCM","65-69","C","-2","-134","ALH","","5/9/2004","28","12","","Top Left","Z type","Rat a mCD8mAb nc82","","F","EBA","To generate PN single cell clones for new map","25","3590","47110","","","",""
"","","","Adult","","040507.3","Alexa488Alexa568","G13 GH146 MARCM","65-69","C","-2","-134","ALH","","","26","10","","Top Left","Z type","Rat a mCD8mAb nc82","1","F","EBB","To generate PN single cell clones for new map","25","3590","47110","Gregory Jefferis","7/2/2004","Gregory Jefferis","7/2/2004"
"","","","Adult","","040507.1","Alexa488Alexa568","G13 GH146 MARCM","65-69","C","-2","-134","ALH","","6/19/2004","25","0","","Top Left","Z type","Rat a mCD8mAb nc82","2","F","EBC","To generate PN single cell clones for new map","25","3590","47110","Gregory Jefferis","7/2/2004","Gregory Jefferis","7/2/2004"
"","","","Adult","","040507.1","Alexa488Alexa568","G13 GH146 MARCM","65-69","C","-2","-134","ALH","","6/19/2004","21","0","","Top Left","Z type","Rat a mCD8mAb nc82","3","F","EBD","To generate PN single cell clones for new map","25","3590","47110","Gregory Jefferis","7/2/2004","Gregory Jefferis","7/2/2004"
"","","","Adult","","040506.1","Alexa488Alexa568","G13 GH146 MARCM","2-4","B","24","0","ALH","","5/21/2004","","7","","Top Left","Z type","Rat a mCD8mAb nc82","4","F","EBE","To generate PN single cell clones for new map","25","3590","47110","Gregory Jefferis","7/2/2004","Gregory Jefferis","7/2/2004"
"","","","Adult","","040506.2","Alexa488Alexa568","G13 GH146 MARCM","2-4","B","24","0","ALH","","5/21/2004","","2","","Top Left","Z type","Rat a mCD8mAb nc82","5","M","EBF","To generate PN single cell clones for new map","25","3590","47110","Gregory Jefferis","7/2/2004","Gregory Jefferis","7/2/2004"
"","","","Adult","","040506.2","Alexa488Alexa568","G13 GH146 MARCM","2-4","B","24","0","ALH","","6/19/2004","14","2","","Top Left","Z type","Rat a mCD8mAb nc82","6","M","EBG","To generate PN single cell clones for new map","25","3590","47110","Gregory Jefferis","7/2/2004","Gregory Jefferis","7/2/2004"
"","","","Adult","","","Alexa488Alexa568","G13 GH146 FLP122 MARCM","16-24","29 Apr","-4","-40","Emb","","6/30/2004","39","6","","Top Left","Z type","Rat a mCD8mAb nc82","7","F","ECA","Emb PNs for new map - GJ and Alex imaging ","16","3590","47110","Gregory Jefferis","7/2/2004","Gregory Jefferis","7/6/2004"
"","","","Adult","","","Alexa488Alexa568","G13 GH146 FLP122 MARCM","16-24","29 Apr","-4","-40","Emb","","6/30/2004","25","3","","Top Left","Z type","Rat a mCD8mAb nc82","8","F","ECB","","16","3590","47110","Gregory Jefferis","7/2/2004","Gregory Jefferis","7/2/2004"
"","","","Adult","","","Alexa488Alexa568","G13 GH146 FLP122 MARCM","16-24","29 Apr","-4","-40","Emb","","6/30/2004","12","2","","Top Left","Z type","Rat a mCD8mAb nc82","9","F","ECC","","16","3590","47110","Gregory Jefferis","7/2/2004","Liqun Luo","7/14/2004"
